genus_clean
Actibacter
Altererythrobacter
Anderseniella
Blastopirellula
Bythopirellula
CI75cm.2.12
Caldithrix
Calorithrix
Candidatus Amoebophilus
Candidatus Omnitrophus
Candidatus Thiobios
Carboxylicivirga
Catenococcus
Chroococcidiopsis PCC-6712
Cyanobacterium CLg1
Deferrisoma
Defluviicoccus
Desulfatiglans
Desulfomonile
Desulfosarcina
Draconibacterium
Endothiovibrio
Epulopiscium
Erythrobacter
Filomicrobium
Fulvimarina
Fulvivirga
Halioxenophilus
Halomonas
Ignavibacterium
IheB3-7
Ilumatobacter
Izimaplasma
JdFR-76
Ketobacter
Kushneria
Lewinella
MSBL7
Marinobacterium
Marinomonas
Methyloceanibacter
Microbulbifer
Mooreia
Muriicola
Nitrospira
Pelagibacterium
Pelagibius
Pir4 lineage
Pirellula
Planctomicrobium
Pleurocapsa PCC-7319
Portibacter
Pseudoalteromonas
Pseudohongiella
Pseudokineococcus
Qipengyuania
R76-B128
Rhodopirellula
Robiginitalea
Rubripirellula
Rubrivirga
Salinisphaera
Sediminispirochaeta
Sphingomicrobium
Spirochaeta
Spirochaeta 2
Subgroup 10
Subgroup 23
Sulfurimonas
Sulfurovum
Sva0081 sediment group
Sva0996 marine group
Thermomarinilinea
Tistlia
Tunicatimonas
UCYN-C
Urania-1B-19 marine sediment group
Wolbachia
Xenococcus PCC-7305
Zunongwangia
endosymbionts
