ocean_distance_km,partial_ecological_distance
0,0
4.204190256612389,0.017929886402802107
8.408380513224778,0.03563567719501356
12.612570769837166,0.053117372376634345
16.816761026449555,0.07037497194766455
21.020951283061944,0.08740847590810419
25.225141539674333,0.10421788425795309
29.42933179628672,0.1208031969972114
33.63352205289911,0.13716441412587907
37.8377123095115,0.1533015356439562
42.04190256612389,0.1692145615514427
46.24609282273627,0.18490349184833849
50.450283079348665,0.20036832653464376
54.65447333596106,0.21560906561035828
58.85866359257344,0.2306257090754823
63.06285384918583,0.2454182569300156
67.26704410579822,0.25998670917395816
71.47123436241061,0.2743310658073102
75.675424619023,0.2884513268300717
79.87961487563538,0.30234749224224255
84.08380513224778,0.31601956204382287
88.28799538886017,0.32946753623481245
92.49218564547255,0.3426914148152115
96.69637590208494,0.3556911977850198
100.90056615869733,0.3684668851442375
105.10475641530972,0.38101847689286467
109.30894667192212,0.39334597303090113
113.5131369285345,0.405449373558347
117.71732718514689,0.4173286784752022
121.92151744175928,0.42898388778146684
126.12570769837166,0.4404150014771408
130.32989795498406,0.4516220195622242
134.53408821159644,0.4626049420367169
138.73827846820882,0.4733637689006191
142.94246872482123,0.4838985001539306
147.1466589814336,0.49420913579665143
151.350849238046,0.5042956758287818
155.5550394946584,0.5141581202503214
159.75922975127077,0.5237964690612703
163.96342000788317,0.5332107222616287
168.16761026449555,0.5424008798513965
172.37180052110793,0.5513669418305737
176.57599077772034,0.5601089081991601
180.7801810343327,0.568626778957156
184.9843712909451,0.5769205541045612
189.1885615475575,0.5849902336413759
193.39275180416988,0.5928358175676
197.59694206078228,0.6004573058832333
201.80113231739466,0.6078546985882761
206.00532257400704,0.6150279956827283
210.20951283061945,0.6219771971665897
214.41370308723182,0.6287023030398607
218.61789334384423,0.635203313302541
222.8220836004566,0.6414802279546307
227.026273857069,0.6475330469961297
231.2304641136814,0.653361770427038
235.43465437029377,0.6589663982473558
239.63884462690615,0.664346930457083
243.84303488351856,0.6695033670562195
248.04722514013093,0.6744357080447655
252.2514153967433,0.6791439534227207
256.4556056533557,0.6836281031900854
260.6597959099681,0.6878881573468595
264.8639861665805,0.6919241158930428
269.0681764231929,0.6957359788286356
273.27236667980526,0.6993237461536378
277.47655693641764,0.7026874178680493
281.6807471930301,0.7058269939718703
285.88493744964245,0.7087424744651006
290.08912770625483,0.7114338593477403
294.2933179628672,0.7139011486197894
298.4975082194796,0.7161443422812478
302.701698476092,0.7181634403321155
306.9058887327044,0.7199584427723927
311.1100789893168,0.7215293496020793
315.31426924592915,0.7228761608211752
319.51845950254153,0.7239988764296806
323.7226497591539,0.7248974964275953
327.92684001576635,0.7255720208149193
332.1310302723787,0.7260224495916527
336.3352205289911,0.7262487827577956
340.5394107856035,0.7262779246576964
344.74360104221586,0.7262779246576964
348.9477912988283,0.7262779246576964
353.15198155544067,0.7262779246576964
357.35617181205305,0.7262779246576964
361.5603620686654,0.7262779246576964
365.7645523252778,0.7262779246576964
369.9687425818902,0.7262779246576964
374.1729328385026,0.7262779246576964
378.377123095115,0.7262779246576964
382.5813133517274,0.7262779246576964
386.78550360833975,0.7262779246576964
390.98969386495213,0.7262779246576964
395.19388412156457,0.7262779246576964
399.39807437817694,0.7262779246576964
403.6022646347893,0.7262779246576964
407.8064548914017,0.7262779246576964
412.0106451480141,0.7262779246576964
416.2148354046265,0.7262779246576964
420.4190256612389,0.7262779246576964
424.62321591785127,0.7262779246576964
428.82740617446365,0.7262779246576964
433.031596431076,0.7262779246576964
437.23578668768846,0.7262779246576964
441.43997694430084,0.7262779246576964
445.6441672009132,0.7262779246576964
449.8483574575256,0.7262779246576964
454.052547714138,0.7262779246576964
458.25673797075035,0.7262779246576964
462.4609282273628,0.7262779246576964
466.66511848397516,0.7262779246576964
470.86930874058754,0.7262779246576964
475.0734989971999,0.7262779246576964
479.2776892538123,0.7262779246576964
483.48187951042473,0.7262779246576964
487.6860697670371,0.7262779246576964
491.8902600236495,0.7262779246576964
496.09445028026187,0.7262779246576964
500.29864053687425,0.7262779246576964
504.5028307934866,0.7262779246576964
508.70702105009906,0.7262779246576964
512.9112113067114,0.7262779246576964
517.1154015633239,0.7262779246576964
521.3195918199362,0.7262779246576964
525.5237820765486,0.7262779246576964
529.727972333161,0.7262779246576964
533.9321625897734,0.7262779246576964
538.1363528463858,0.7262779246576964
542.3405431029981,0.7262779246576964
546.5447333596105,0.7262779246576964
550.7489236162229,0.7262779246576964
554.9531138728353,0.7262779246576964
559.1573041294477,0.7262779246576964
563.3614943860601,0.7262779246576964
567.5656846426725,0.7262779246576964
571.7698748992849,0.7262779246576964
575.9740651558973,0.7262779246576964
580.1782554125097,0.7262779246576964
584.382445669122,0.7262779246576964
588.5866359257344,0.7262779246576964
592.7908261823468,0.7262779246576964
596.9950164389592,0.7262779246576964
601.1992066955715,0.7262779246576964
605.403396952184,0.7262779246576964
609.6075872087964,0.7262779246576964
613.8117774654088,0.7262779246576964
618.0159677220212,0.7262779246576964
622.2201579786336,0.7262779246576964
626.4243482352459,0.7262779246576964
630.6285384918583,0.7262779246576964
634.8327287484707,0.7262779246576964
639.0369190050831,0.7262779246576964
643.2411092616954,0.7262779246576964
647.4452995183078,0.7262779246576964
651.6494897749203,0.7262779246576964
655.8536800315327,0.7262779246576964
660.0578702881451,0.7262779246576964
664.2620605447574,0.7262779246576964
668.4662508013698,0.7262779246576964
672.6704410579822,0.7262779246576964
676.8746313145946,0.7262779246576964
681.078821571207,0.7262779246576964
685.2830118278193,0.7262779246576964
689.4872020844317,0.7262779246576964
693.6913923410441,0.7262779246576964
697.8955825976566,0.7262779246576964
702.099772854269,0.7262779246576964
706.3039631108813,0.7262779246576964
710.5081533674937,0.7262779246576964
714.7123436241061,0.7262779246576964
718.9165338807185,0.7262779246576964
723.1207241373309,0.7262779246576964
727.3249143939432,0.7262779246576964
731.5291046505556,0.7262779246576964
735.733294907168,0.7262779246576964
739.9374851637804,0.7262779246576964
744.1416754203929,0.7262779246576964
748.3458656770052,0.7262779246576964
752.5500559336176,0.7262779246576964
756.75424619023,0.7262779246576964
760.9584364468424,0.7262779246576964
765.1626267034547,0.7262779246576964
769.3668169600671,0.7262779246576964
773.5710072166795,0.7262779246576964
777.7751974732919,0.7262779246576964
781.9793877299043,0.7262779246576964
786.1835779865168,0.7262779246576964
790.3877682431291,0.7262779246576964
794.5919584997415,0.7262779246576964
798.7961487563539,0.7262779246576964
803.0003390129663,0.7262779246576964
807.2045292695786,0.7262779246576964
811.408719526191,0.7262779246576964
815.6129097828034,0.7262779246576964
819.8171000394158,0.7262779246576964
824.0212902960282,0.7262779246576964
828.2254805526405,0.7262779246576964
832.429670809253,0.7262779246576964
836.6338610658654,0.7262779246576964
