habitat_pair,n_pairwise_comparisons,mean_total_sorensen,median_total_sorensen,mean_turnover,median_turnover,mean_nestedness,median_nestedness
Coral_vs_Mangrove,1760,0.9376793106689404,0.9766309418162786,0.8459812965821687,0.9,0.09169801408677176,0.021544662658069584
Coral_vs_Seagrass,640,0.8903574494424022,0.9121151936444886,0.7319740471052565,0.75,0.15838340233714568,0.11066326975002178
Mangrove_vs_Seagrass,1100,0.9114036851571883,0.9297577092511013,0.8028440573287339,0.8333333333333334,0.10855962782845444,0.04933246057105693
