habitat,PCoA1,PCoA2,PCoA3,PCoA4,PCoA5,PCoA6,PCoA7,PCoA8,PCoA9,PCoA10,PCoA11,PCoA12,PCoA13,PCoA14,PCoA15,PCoA16,PCoA17,PCoA18,PCoA19,PCoA20,PCoA21,PCoA22,PCoA23,PCoA24,PCoA25,PCoA26,PCoA27,PCoA28,PCoA29,PCoA30,PCoA31,PCoA32,PCoA33,PCoA34,PCoA35,PCoA36,PCoA37,PCoA38,PCoA39,PCoA40,PCoA41,PCoA42,PCoA43,PCoA44,PCoA45,PCoA46,PCoA47,PCoA48,PCoA49,PCoA50,PCoA51,PCoA52,PCoA53,PCoA54,PCoA55,PCoA56,PCoA57,PCoA58,PCoA59,PCoA60,PCoA61,PCoA62,PCoA63,PCoA64,PCoA65,PCoA66,PCoA67,PCoA68,PCoA69,PCoA70,PCoA71,PCoA72,PCoA73,PCoA74,PCoA75,PCoA76,PCoA77,PCoA78,PCoA79,PCoA80,PCoA81,PCoA82,PCoA83,PCoA84,PCoA85,PCoA86,PCoA87,PCoA88,PCoA89,PCoA90,PCoA91,PCoA92,PCoA93,PCoA94,PCoA95,PCoA96,PCoA97,PCoA98,PCoA99,PCoA100,PCoA101,PCoA102,PCoA103,PCoA104,PCoA105,PCoA106
Coral,0.09802898232561297,0.1487336147100616,0.002064030772702394,0.05240503942660786,-0.024612211714460666,0.03431632137843912,-0.032676034252224866,-0.015838469253469007,0.01669598444825754,-0.017153418870218217,-0.030876084645729877,0.03124718700880503,0.007732310889232924,0.0014346500892774056,0.020796582457248882,0.021198604920627657,0.003664262647596871,-0.009819571603969046,8.418322599873236e-4,0.0014121609629919583,0.008250598831001446,0.005830022799818979,-0.004799198690234041,-0.007095824816989615,0.005389644102642279,0.005095548983728426,-0.009164758957776494,-0.006424970343824941,-0.007834470390127633,0.003321287886212117,-0.005961969197008214,-0.00670298800658708,-0.003093214249321613,-0.004006787450616123,-0.004520859585787554,-0.0010435910337955189,5.904921755539485e-4,-0.004065683303489659,0.007321978679645673,-0.0010698446054403193,0.0030420035560952074,5.705345346254264e-4,-0.0036273011042110915,0.003872822864280303,-0.003098794941134411,8.805602723753772e-4,-0.004268004657192483,2.0182401890383517e-4,0.00316841654634781,-7.251624629760688e-4,-0.002908777555330745,-0.0031658055238101405,0.00358350964653346,2.326936496850191e-4,-0.003288596467438099,0.0018940806999945055,-0.0016011448671571827,-0.002061326654450513,-6.916643215489035e-4,7.760181289788679e-4,1.8745319466771768e-4,8.642335196268721e-4,0.0010861985768838595,-0.0010978182531885,-6.125019742672401e-4,4.6249852376565996e-4,5.490436242345869e-4,0.0013021199707181157,-0.001293859163094548,-9.594361887600459e-4,7.026291629046985e-5,-0.0013590433999241,-8.687954365244644e-4,6.868671439025317e-4,6.172124272875385e-4,8.694033731193371e-4,8.884580403145685e-4,-2.5962648034442e-4,0.0014155021453224992,2.8113728194802817e-4,0.002051040835402549,5.543696330852555e-4,1.895957292022756e-4,-0.0010385920022965552,-3.2343476370993833e-4,6.988057888851994e-4,-7.42798047596817e-5,3.796805415135424e-4,2.028586208585649e-4,6.027692885016698e-5,1.9909653933006393e-5,-2.0608554869835143e-4,6.95177654398482e-5,-8.285581263597615e-5,-2.924699053721477e-4,-2.478406716496001e-4,-1.821007539247295e-4,-6.960553236797987e-4,2.3909971854112829e-4,0.001234019790742094,-5.973512380157415e-4,6.739751950229507e-4,-6.466746428075774e-5,-4.0171033119482916e-4,-0.0026016497636383532,0.0027129230129490757
Mangrove,-0.04250399335472663,-0.11573887286822399,-8.386087180198135e-4,-0.016376459036929338,0.011859832352279281,-0.01058429927281778,0.008373267580188668,0.007600087738430897,3.877230037641821e-4,0.017919756161707677,0.0061436718331278894,-0.01412711669678962,-0.018495807398229595,7.337109273141948e-4,0.0034664114762598475,-0.014130495197970137,0.00915741182421421,0.01071557119061417,-0.00947744388540614,0.00821779712301699,-0.012111449478533891,-0.0011796300635156921,0.005536036569115783,0.0098260490940856645,0.00345650480907191,0.00160774643735621,-0.003030473440079068,0.0027289297332670466,-3.1816961036551267e-4,8.108996426900296e-4,0.0030274411746613276,3.4519299142034504e-4,0.0010297620220142292,-0.0038244801664388595,-0.0013007782577309365,0.005639811440666944,-0.002271593410894906,0.00395782359129201,-0.0013994248101290288,0.003564316251907781,5.468435534359662e-4,-0.0017952060701038107,0.003480238766124158,-6.064089447125929e-4,7.528756384296332e-4,7.28979145813396e-4,8.300790774028478e-4,-8.022746769915458e-4,0.0012819617426393713,-3.5701907502756297e-4,9.511192105166311e-4,2.4864318091149708e-5,3.7981660369923963e-4,0.001874937718019828,9.776275229463165e-4,0.0015141484304372415,8.612429302240714e-4,-4.780715135329191e-4,-6.608631700541143e-4,0.0022415587158680257,-7.381547086265342e-5,-5.976291704467848e-5,-0.0016193376829474716,5.759620444853014e-4,1.539187483177637e-4,4.0803307117879184e-4,7.174046934909701e-4,-5.210329830401079e-4,4.702959714243269e-4,-7.313562774719341e-4,-4.650080033361417e-4,-4.8145178572408105e-4,5.223661652891648e-4,-2.1645017590286652e-4,-0.0012600810922740898,-8.860159523968012e-4,2.3313038069681512e-4,5.615211716768948e-4,2.3117805274146057e-4,0.0010632755243935516,-9.203173253962421e-4,-4.331181788622923e-4,1.5609256903937328e-4,3.7515571106213903e-4,1.8663557221045585e-4,9.742903174671365e-5,3.335369648754954e-4,5.165034381406092e-5,-1.6867377499090017e-4,3.0793239293705184e-4,-1.9818384434994502e-4,5.375789080579868e-5,-2.1879822478460852e-4,1.0288352305234773e-4,2.7470952243909463e-5,2.2850365599284928e-4,-5.15375044010155e-4,2.8910166139396336e-4,2.798278763791761e-4,-1.3298978449289802e-4,-1.09463251522539e-4,-6.575456217401899e-5,-2.291846060897276e-4,1.7735557562389458e-4,-6.569118750879991e-4,6.696924756797772e-4
Seagrass,-0.03996038999548272,0.08030811685151737,-9.96275261769261e-4,-0.03881280073101702,0.006764999774369274,-0.025799291205253372,0.029255168958040537,0.004441309524865561,-0.02777981337756359,-0.021833859252346984,0.03250663789206579,-0.011145928297916623,0.038491772922358766,-0.00431314519295742,-0.04280716349131317,0.004941093921414199,-0.03104570275274434,-0.013756506207838866,0.024716039068887405,-0.02485839962908479,0.020105527936365334,-0.006084053805041231,-0.007545382660693313,-0.015668315301552996,-0.0181288187891753,-0.01257418107669507,0.022997416292659972,0.002775395783635096,0.013410119052709307,-0.007544034635337464,0.0012136874848946192,0.009775500084133054,0.0021172972383752715,0.01692818037869315,0.010810515546019885,-0.013839735807761584,0.005302094399075159,-0.004378921590469164,-0.007866747659577827,-0.00809011832404248,-0.0063710254617013705,0.004023961437385567,-0.0037669748401032285,-0.004528891984888695,0.0028876639001336342,-0.003413589086787125,0.004546089988650722,0.0018833369314810837,-0.008594861266415347,0.0021420623970890207,0.002038466259606199,0.00499691196334375,-0.006778111094627504,-0.0055283885640502,0.002573278659797709,-0.007194437303694224,1.9341372933382657e-4,0.004612819309334836,0.0029240366321239704,-0.0074059154750046475,-9.69325665972992e-5,-0.0012184256095302637,0.002715260905090064,1.7261358276753338e-4,5.567266009520173e-4,-0.0018620885837693627,-0.0028513327058746637,-6.505512497883473e-4,7.768607395339842e-4,0.0035463276650642603,0.0011663513431117792,0.003498461850619766,-4.64342561054455e-5,-5.037494465089194e-4,0.002477683120093738,0.001045498472102922,-0.0020626414114188647,-0.001128780853562139,-0.0029005430775556115,-0.0033738273431999206,-7.507926918007055e-4,3.04083578934373e-4,-7.326077315784546e-4,6.300689982543585e-4,4.247798355855488e-6,-0.001386019099516441,-7.98378965792278e-4,-7.495273119053872e-4,1.3927908785370095e-4,-9.432571667381828e-4,5.131501256797217e-4,1.819026782201502e-4,4.904666934571494e-4,-1.5036038818439786e-4,3.924067299223335e-4,-2.318399793384663e-4,0.0017086425773035572,3.1865894905277364e-4,-0.0011520862097110839,-0.0016087097578351966,0.0012567859225109924,-8.975352660581766e-4,7.337256095956592e-4,1.550086969479952e-4,0.005969147278313345,-0.006182331128839991
