variable,BO22_tempmean_ss,BO22_temprange_ss,BO22_salinitymean_ss,BO22_salinityrange_ss,BO22_chlomean_ss,BO22_chlorange_ss,BO22_nitratemean_ss,BO22_phosphatemean_ss,BO22_dissoxmean_ss,BO22_ph,BO22_parmean
BO22_tempmean_ss,1,-0.7453275060772329,-0.06371286567437218,0.42567634552112465,-0.49774996685705597,-0.19118800906543085,0.17125854415978828,-0.3149143774092242,-0.8305191403673188,0.5898044419294971,0.6322108656534758
BO22_temprange_ss,-0.7453275060772329,1,0.28948130243453035,-0.47473095089444733,0.29930786336361703,-0.02385217560495795,-0.3731014271375584,0.6781719494520202,0.5373606774649958,-0.21567179535691394,-0.5364074902838143
BO22_salinitymean_ss,-0.06371286567437218,0.28948130243453035,1,-0.10305760855112282,0.28097001367522245,0.2799991232217658,-0.95569083340738,0.7810248989964124,-0.19276060028452155,0.5652511211276875,0.04381042833994269
BO22_salinityrange_ss,0.42567634552112465,-0.47473095089444733,-0.10305760855112282,1,-0.05877278486950124,0.04246639194267684,0.14511269413258548,-0.28278110744320184,-0.33176731746289223,0.4610060749441198,0.5967782367402045
BO22_chlomean_ss,-0.49774996685705597,0.29930786336361703,0.28097001367522245,-0.05877278486950124,1,0.8494125870012635,-0.3255977137367159,0.4276622862177036,0.727860633703572,-0.2946499354383861,-0.4206303679409808
BO22_chlorange_ss,-0.19118800906543085,-0.02385217560495795,0.2799991232217658,0.04246639194267684,0.8494125870012635,1,-0.35041291793280704,0.24734167628927814,0.45459436499623923,-0.07310679260827906,-0.21729713877055984
BO22_nitratemean_ss,0.17125854415978828,-0.3731014271375584,-0.95569083340738,0.14511269413258548,-0.3255977137367159,-0.35041291793280704,1,-0.7527221587583176,0.08811118093123338,-0.4767593619148145,0.10572851609407026
BO22_phosphatemean_ss,-0.3149143774092242,0.6781719494520202,0.7810248989964124,-0.28278110744320184,0.4276622862177036,0.24734167628927814,-0.7527221587583176,1,0.1550499211346693,0.2739535756990447,-0.2715874446985346
BO22_dissoxmean_ss,-0.8305191403673188,0.5373606774649958,-0.19276060028452155,-0.33176731746289223,0.727860633703572,0.45459436499623923,0.08811118093123338,0.1550499211346693,1,-0.7535172205191668,-0.652414847758315
BO22_ph,0.5898044419294971,-0.21567179535691394,0.5652511211276875,0.4610060749441198,-0.2946499354383861,-0.07310679260827906,-0.4767593619148145,0.2739535756990447,-0.7535172205191668,1,0.7333552916326905
BO22_parmean,0.6322108656534758,-0.5364074902838143,0.04381042833994269,0.5967782367402045,-0.4206303679409808,-0.21729713877055984,0.10572851609407026,-0.2715874446985346,-0.652414847758315,0.7333552916326905,1
