sample_id,latitude,longitude,habitat,east_or_west,site_code,protected_area,control,BO22_tempmean_ss,BO22_temprange_ss,BO22_salinitymean_ss,BO22_salinityrange_ss,BO22_chlomean_ss,BO22_chlorange_ss,BO22_nitratemean_ss,BO22_phosphatemean_ss,BO22_dissoxmean_ss,BO22_ph,BO22_parmean,env_missing
30,2.288352,104.10363,Seagrass,East,SeG_PulauTinggi,Y,NA,28.900333,3.981489,31.503615,3.180723,0.338399,0.278002,0.089986,0.042176,203.264988,7.840000152587891,42.97200012207031,FALSE
31,2.312019,104.091371,Coral,East,Cor_Pulau_Tinggi,Y,NA,28.900333,3.981489,31.503615,3.180723,0.338399,0.278002,0.089986,0.042176,203.264988,7.840000152587891,42.97200012207031,FALSE
32,2.309456,104.09154,Coral,East,Cor_Pulau_Tinggi,Y,NA,28.900333,3.981489,31.503615,3.180723,0.338399,0.278002,0.089986,0.042176,203.264988,7.840000152587891,42.97200012207031,FALSE
33,2.302878,104.092553,Coral,East,Cor_Pulau_Tinggi,Y,NA,28.900333,3.981489,31.503615,3.180723,0.338399,0.278002,0.089986,0.042176,203.264988,7.840000152587891,42.97200012207031,FALSE
34,2.303181,104.092958,Coral,East,Cor_Pulau_Tinggi,Y,NA,28.900333,3.981489,31.503615,3.180723,0.338399,0.278002,0.089986,0.042176,203.264988,7.840000152587891,42.97200012207031,FALSE
35,2.301022,104.093701,Coral,East,Cor_Pulau_Tinggi,Y,NA,28.900333,3.981489,31.503615,3.180723,0.338399,0.278002,0.089986,0.042176,203.264988,7.840000152587891,42.97200012207031,FALSE
36,3.109037,103.443207,Mangrove,East,Man_Nenasi,N,NA,28.984863,4.087633,30.847213,4.095115,0.63383,0.5748,0.156496,0.050235,205.722494,7.880000114440918,42.722999572753906,FALSE
37,3.101512,103.446143,Mangrove,East,Man_Nenasi,N,NA,28.984863,4.087633,30.847213,4.095115,0.63383,0.5748,0.156496,0.050235,205.722494,7.880000114440918,42.722999572753906,FALSE
38,3.094182,103.442717,Mangrove,East,Man_Nenasi,N,NA,28.984863,4.087633,30.847213,4.095115,0.63383,0.5748,0.156496,0.050235,205.722494,7.880000114440918,42.722999572753906,FALSE
39,3.087342,103.44027,Mangrove,East,Man_Nenasi,N,NA,28.984863,4.087633,30.847213,4.095115,0.63383,0.5748,0.156496,0.050235,205.722494,7.880000114440918,42.722999572753906,FALSE
40,3.078358,103.442128,Mangrove,East,Man_Nenasi,N,NA,28.985039,4.101334,30.79518,4.356161,0.71656,0.642242,0.171804,0.050375,206.413585,7.870999813079834,42.744998931884766,FALSE
41,4.053491,103.404452,Coral,East,Cor_Pulau_Ular,N,NA,28.988857,3.949999,30.919779,3.413976,0.369909,0.48082,0.059122,0.04622,202.993101,7.947999954223633,42.643001556396484,TRUE
42,4.054416,103.409527,Coral,East,Cor_Pulau_Ular,N,NA,28.988857,3.949999,30.919779,3.413976,0.369909,0.48082,0.059122,0.04622,202.993101,7.947999954223633,42.643001556396484,TRUE
43,4.057277,103.409519,Coral,East,Cor_Pulau_Ular,N,NA,28.988857,3.949999,30.919779,3.413976,0.369909,0.48082,0.059122,0.04622,202.993101,7.947999954223633,42.643001556396484,TRUE
44,4.058469,103.407966,Coral,East,Cor_Pulau_Ular,N,NA,28.988857,3.949999,30.919779,3.413976,0.369909,0.48082,0.059122,0.04622,202.993101,7.947999954223633,42.643001556396484,TRUE
45,4.05599,103.405705,Coral,East,Cor_Pulau_Ular,N,NA,28.988857,3.949999,30.919779,3.413976,0.369909,0.48082,0.059122,0.04622,202.993101,7.947999954223633,42.643001556396484,TRUE
46,4.04739,103.39389,Mangrove,East,Man_Sungai_Ular,N,NA,28.988857,3.949999,30.919779,3.413976,0.369909,0.48082,0.059122,0.04622,202.993101,7.947999954223633,42.643001556396484,TRUE
47,4.047681,103.395217,Mangrove,East,Man_Sungai_Ular,N,NA,28.988857,3.949999,30.919779,3.413976,0.369909,0.48082,0.059122,0.04622,202.993101,7.947999954223633,42.643001556396484,TRUE
48,4.048489,103.395758,Mangrove,East,Man_Sungai_Ular,N,NA,28.988857,3.949999,30.919779,3.413976,0.369909,0.48082,0.059122,0.04622,202.993101,7.947999954223633,42.643001556396484,TRUE
49,4.04984,103.395527,Mangrove,East,Man_Sungai_Ular,N,NA,28.988857,3.949999,30.919779,3.413976,0.369909,0.48082,0.059122,0.04622,202.993101,7.947999954223633,42.643001556396484,TRUE
50,4.050552,103.395166,Mangrove,East,Man_Sungai_Ular,N,NA,28.988857,3.949999,30.919779,3.413976,0.369909,0.48082,0.059122,0.04622,202.993101,7.947999954223633,42.643001556396484,TRUE
51,4.657741,103.438562,Seagrass,East,ManSeG_Paka,N,NA,28.888735,4.027735,31.357877,2.545703,0.215832,0.267691,0.012395,0.04257,201.577455,8.026000022888184,44.40800094604492,FALSE
52,4.656438,103.436615,Seagrass,East,ManSeG_Paka,N,NA,28.888735,4.027735,31.357877,2.545703,0.215832,0.267691,0.012395,0.04257,201.577455,8.026000022888184,44.40800094604492,FALSE
53,4.653916,103.433807,Seagrass,East,ManSeG_Paka,N,NA,28.888735,4.027735,31.357877,2.545703,0.215832,0.267691,0.012395,0.04257,201.577455,8.026000022888184,44.40800094604492,FALSE
54,4.648234,103.435003,Seagrass,East,ManSeG_Paka,N,NA,28.888735,4.027735,31.357877,2.545703,0.215832,0.267691,0.012395,0.04257,201.577455,8.026000022888184,44.40800094604492,FALSE
