variable,r2,p_value
BO22_tempmean_ss,0.15278883459432532,0.001
BO22_chlomean_ss,0.26711897613066127,0.001
BO22_chlorange_ss,0.2439456446468909,0.001
BO22_dissoxmean_ss,0.12460224741199274,0.002
BO22_salinitymean_ss,0.08408630031298436,0.008
BO22_nitratemean_ss,0.09748533228802209,0.009
BO22_temprange_ss,0.0669830371864674,0.022
BO22_parmean,0.04716864391714248,0.077
BO22_phosphatemean_ss,0.03032542780350115,0.181
BO22_ph,0.019664476230988274,0.359
BO22_salinityrange_ss,7.973258339174762e-4,0.957
