sample_id,latitude,longitude,habitat,east_or_west,site_code,protected_area,control
91,5.363009,100.324704,Seagrass,West,SeG_Pulau_Kezambo,N,NA
92,5.364814,100.324618,Seagrass,West,SeG_Pulau_Kezambo,N,NA
93,5.365017,100.326968,Seagrass,West,SeG_Pulau_Kezambo,N,NA
94,5.36303,100.327461,Seagrass,West,SeG_Pulau_Kezambo,N,NA
95,5.361535,100.325841,Seagrass,West,SeG_Pulau_Kezambo,N,NA
96,4.78359,100.607457,Mangrove,West,Man_Kuala_Sepetang,N,NA
97,4.787012,100.612692,Mangrove,West,Man_Kuala_Sepetang,N,NA
98,4.788979,100.618615,Mangrove,West,Man_Kuala_Sepetang,N,NA
99,4.791801,100.624022,Mangrove,West,Man_Kuala_Sepetang,N,NA
100,4.797275,100.62634,Mangrove,West,Man_Kuala_Sepetang,N,NA
101,4.190014,100.572274,Coral,West,Cor_Pulau_Pangkor,N,NA
102,4.187189,100.543949,Coral,West,Cor_Pulau_Pangkor,N,NA
103,4.192025,100.537855,Coral,West,Cor_Pulau_Pangkor,N,NA
104,4.203476,100.545476,Coral,West,Cor_Pulau_Pangkor,N,NA
105,4.194839,100.559803,Coral,West,Cor_Pulau_Pangkor,N,NA
106,3.024487,101.320359,Mangrove,West,Man_Pulau_Ketam,N,NA
107,3.021921,101.326184,Mangrove,West,Man_Pulau_Ketam,N,NA
108,3.014735,101.325529,Mangrove,West,Man_Pulau_Ketam,N,NA
109,3.016972,101.333548,Mangrove,West,Man_Pulau_Ketam,N,NA
110,3.01341,101.336968,Mangrove,West,Man_Pulau_Ketam,N,NA
