pair_category,n_pairs,mean_distance,median_distance,sd_distance
Same habitat / same coast,907,0.7702339085422412,0.7901938851635087,0.1285802687521629
Different habitat / same coast,1735,0.7668022038806979,0.7884472918998415,0.14383562523212498
Same habitat / different coast,1055,0.8089220310001941,0.8096660627341391,0.10393845909128713
Different habitat / different coast,1765,0.8288854858210538,0.841479508540962,0.10550287553496297
