sample_1,sample_2,distance,pair_id,original_sample_id_1,habitat_1,coast_1,site_1,latitude_1,longitude_1,original_sample_id_2,habitat_2,coast_2,site_2,latitude_2,longitude_2,same_habitat,same_coast,same_site,pair_category
S1,S31,0.6846650076560905,S1__S31,1,Mangrove,West,Man_Kukup,1.334569,103.430838,31,Coral,East,Cor_Pulau_Tinggi,2.312019,104.091371,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S32,0.8308692903958541,S1__S32,1,Mangrove,West,Man_Kukup,1.334569,103.430838,32,Coral,East,Cor_Pulau_Tinggi,2.309456,104.09154,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S33,0.8061823912769721,S1__S33,1,Mangrove,West,Man_Kukup,1.334569,103.430838,33,Coral,East,Cor_Pulau_Tinggi,2.302878,104.092553,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S34,0.8307690527770745,S1__S34,1,Mangrove,West,Man_Kukup,1.334569,103.430838,34,Coral,East,Cor_Pulau_Tinggi,2.303181,104.092958,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S35,0.6905555848171195,S1__S35,1,Mangrove,West,Man_Kukup,1.334569,103.430838,35,Coral,East,Cor_Pulau_Tinggi,2.301022,104.093701,FALSE,FALSE,FALSE,Different habitat / different coast
S1,S36,0.9461605436208599,S1__S36,1,Mangrove,West,Man_Kukup,1.334569,103.430838,36,Mangrove,East,Man_Nenasi,3.109037,103.443207,TRUE,FALSE,FALSE,Same habitat / different coast
S1,S37,0.9648753814169511,S1__S37,1,Mangrove,West,Man_Kukup,1.334569,103.430838,37,Mangrove,East,Man_Nenasi,3.101512,103.446143,TRUE,FALSE,FALSE,Same habitat / different coast
S1,S38,0.9512574175928614,S1__S38,1,Mangrove,West,Man_Kukup,1.334569,103.430838,38,Mangrove,East,Man_Nenasi,3.094182,103.442717,TRUE,FALSE,FALSE,Same habitat / different coast
S1,S39,0.9581011242120109,S1__S39,1,Mangrove,West,Man_Kukup,1.334569,103.430838,39,Mangrove,East,Man_Nenasi,3.087342,103.44027,TRUE,FALSE,FALSE,Same habitat / different coast
S1,S40,0.9184614368879618,S1__S40,1,Mangrove,West,Man_Kukup,1.334569,103.430838,40,Mangrove,East,Man_Nenasi,3.078358,103.442128,TRUE,FALSE,FALSE,Same habitat / different coast
