pair_category,n_pairs,mean_distance,median_distance,sd_distance
Same habitat / same coast,38,0.5324469152333268,0.4967454107116353,0.15553017544506204
Different habitat / same coast,73,0.5749298540498506,0.5810811593215548,0.19179330241070747
Same habitat / different coast,44,0.5683527435991877,0.5424748822458035,0.14266818198952727
Different habitat / different coast,76,0.6610037883482,0.6666104743501939,0.16435547635883466
